study_hours,attendance,internal_marks,assignment_marks,previous_score,sleep_hours,screen_time,final_score
2,65,28,12,55,6,6,58
3,70,32,14,60,7,5,63
4,75,35,16,65,7,4,68
5,80,40,17,70,7,3,75
6,85,43,18,75,8,3,81
7,90,46,19,82,8,2,88
8,95,48,20,90,8,2,94
1,60,25,10,50,5,8,52
2,68,30,13,57,6,7,59
3,72,33,15,62,7,6,65
4,78,37,16,68,7,5,71
5,82,41,18,73,8,4,78
6,88,44,19,80,8,3,84
7,92,47,20,86,8,2,91
8,96,49,20,92,9,1,96
2,66,29,12,54,6,7,57
3,74,34,14,61,7,5,64
4,79,36,16,67,7,4,70
5,84,42,18,74,8,3,79
6,87,45,19,78,8,3,83
7,91,47,19,85,8,2,89
8,94,49,20,91,9,2,95
1,58,24,10,48,5,9,49
2,69,31,13,56,6,7,60
3,76,34,15,64,7,5,66
4,81,38,17,69,7,4,72
5,86,42,18,76,8,3,80
6,89,45,19,81,8,3,85
7,93,48,20,87,8,2,92
8,97,50,20,94,9,1,97
